Tamil_Translated,Original_Hindi,Reversed_Hindi,Answer_Hindi
"கோளிகள் : செல்லும் திசு :: திசு : ?  
வினா: கோளிகள் : திசு :: திசு : ?  

விருந்துகள்:  
A. பொருள்  
B. காது  
C. காகிதம்  
D. உறுப்பு  

சரியான பதில்: D. உறுப்பு",कोशिका : ऊतक :: ऊतक : ?,"गोलियां: चलने वाला ऊतक :: ऊतक : ?  
प्रश्न: गोलियां: ऊतक :: ऊतक : ?  

विकल्प:  
A. वस्तु  
B. कान  
C. कागज  
D. अंग  

सही उत्तर: D. अंग",अंग
"கொண்டா : பறவை :: ஹினினாஹட் : ?

வினா: கொண்டா : பறவை :: ஹினினாஹட் : ?

விருப்பங்கள்:
A. லோமடி
B. குற்றி
C. மேனோடு
D. பூனை",कॉ-कॉ : बत्तख :: हिनहिनाहट : ?,कोंटा : पक्षी :: हिनिनाहट : ?,घोड़ा
"கேள்வி: இரத்த : மார்பு :: எரியும் திரவம் : ?

விருப்பங்கள்:
A. கார்  
B. இன்ஜின்  
C. பைப்பிளைன்  
D. பெட்ரோல்  

விடை: C. பைப்பிளைன்",रक्त : शिरा :: तेल : ?,"प्रश्न: रक्त : दिल :: ज्वलनशील द्रव : ?  
विकल्प:  
A. कार  
B. इंजन  
C. पाइपलाइन  
D. पेट्रोल  
उत्तर: C. पाइपलाइन",पाइपलाइन
"கேள்வி: சீர் : மாந்த :: கரும்புற்றி : ?

விடை தேர்வு:
A. கிணறு  
B. குழியம்  
C. பூக்கோடு  
D. குழியும்  

விடை: D. குழியும்",शेर : मांद :: खरगोश : ?,"प्रश्न: सीर : मानव :: करुम्पुर्ति : ?  
उत्तर चयन:  
A. कुएँ  
B. गड्ढा  
C. पुष्पकोटि  
D. गड्ढा भी  

उत्तर: D. गड्ढा भी",बिल
"கேள்வி: ஜெட்டின் : கப்பலோடியர் :: தினசிறு : ?

விருப்பங்கள்:
A. படிப்பவர்  
B. முத்துக்காரர்  
C. வெளியிட்டவர்  
D. செய்திக் குறிப்பு செய்தவர்  

விடை: C. வெளியிட்டவர்",जहाज : कप्तान :: अखबार : ?,"प्रश्न: जेट : नाविक :: दिनचिन्ह : ? 

विकल्प:
A. पढ़ते हुए  
B. मुत्तुकार  
C. प्रकाशित करने वाला  
D. समाचार टिप्पणी करने वाला  

उत्तर: C. प्रकाशित करने वाला",सम्पादक
"கேள்வி: அனுபூதியம் : சாதாரண :: பழமை : ?  
வினாக்கள்:  
A. ஆதரிப்பு  
B. பழமையானது  
C. புதியது  
D. சமயம்  

விடை: B. பழமையானது",अनूठापन : साधारण :: पुरानापन : ?,"प्रश्न: अनुभूति : सामान्य :: प्राचीन : ?  
विकल्प:  
A. समर्थन  
B. प्राचीनता  
C. नए  
D. समय  

उत्तर: B. प्राचीनता",नयापन
"கேள்வி: மீன் : நீர் :: பறவை : ?  
விடை விருப்பங்கள்:  
A. நீர்  
B. உணவு  
C. ஆகாயம்  
D. வாயு  

சரியான விடை: C. ஆகாயம்",मछली : जल :: चिड़िया : ?,"प्रश्न: मछली : जल :: पक्षी : ?  
विकल्प:  
A. जल  
B. भोजन  
C. आकाश  
D. वायु  

सही उत्तर: C. आकाश",आकाश
"கேள்வி: இச்சை : அந்தஸ்து : : சந்தோசம் : ?  
வினாடி வினாக்கள்:  
A. நிராஶை  
B. அசந்தோசம்  
C. திருப்தி  
D. அப்பிரஸாந்தத்து  

விடை: B. அசந்தோசம்",इच्छा : अनिच्छा :: सन्तुष्टि : ?,"प्रश्न: इच्छा : स्थिति :: आनंद : ?  
समय आधारित प्रश्न:  
A. निराशा  
B. अआनंद  
C. संतोष  
D. अप्रसन्नता  

उत्तर: B. अआनंद",असन्तुष्टि
"கேள்வி: சிறப்பு : குறைவு :: மேல் கட்டு : ?

வினாடிகள்:
A. தரை
B. கூடை
C. பார்வையிடும் பகுதி
D. காற்று குழாய்

விடை: B. கூடை",अच्छा : बुरा :: छत : ?,"प्रश्न: विशेषता : कमी :: ऊपर बाँधा : ?  
विकल्प:  
A. जमीन  
B. बर्तन  
C. देखने वाला हिस्सा  
D. हवा की नली  

उत्तर: B. बर्तन",फर्श
"கேள்வி: பாறை : குற்றங்கள் :: எதிரிகள் : ?

வினாடி வினாக்கள்:
A. நாடு  
B. வெளிநாட்டு மக்கள்  
C. போர்  
D. நண்பர்  

விடை: C. போர்",पहाड़ : घाटी :: शत्रु : ?,"प्रश्न: पत्थर : अपराध :: शत्रु : ?  
समय सम्पूर्ण प्रश्न:  
A. देश  
B. विदेशी लोग  
C. युद्ध  
D. मित्र  

उत्तर: C. युद्ध",संघर्ष
"கேள்வி: குற்றம் : போலீஸ் :: காற்றழிவு : ?

வினாடி தேர்வு:
A. மழை
B. ஆறு
C. பெருங்குடா
D. தண்ணீர் தொட்டி

விடை: C. பெருங்குடா",अपराध : पुलिस :: बाढ़ : ?,"प्रश्न: अपराध : पुलिस :: हवा का नाश : ?  
विकल्प:  
A. बारिश  
B. नदी  
C. बड़ा गड्ढा  
D. पानी का टंकी  

उत्तर: C. बड़ा गड्ढा",बाँध
"கேள்வி: குதிரை : ? :: குற்றியை : ?

முக்கியத்துவம்: குற்றியை : குற்றியின் குழந்தை :: குதிரை : ?

விடை விருப்பங்கள்:
A. பிள்ளை
B. டட்டு
C. சாவக
D. பிளாடா

சரியான விடை: C. சாவக",गाय : बछड़ा :: घोड़ी : ?,"प्रश्न: घोड़ा : ? :: कुर्की : ? 

महत्व: कुर्की : कुर्की का बच्चा :: घोड़ा : ?

विकल्प:
A. बच्चा
B. डॉट
C. सावक
D. प्लाटो

सही उत्तर: C. सावक",टट्टू
