Formatted_Question,Answer_Hindi,English_Translated,Tamil_Translated_From_English
भोपाल : मध्य प्रदेश :: भुवनेश्वर : ?,उड़ीसा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Bhopal : Madhya Pradesh :: Bhubaneswar :?

Options:
A. Gujarat
B. Odisha
C. Rajasthan
D. Arunachal Pradesh","கேள்வி: Bhopal : Madhya Pradesh :: Bhubaneswar :?

விடைகள்:
A. Gujarat
B. Odisha
C. Rajasthan
D. Arunachal Pradesh"
रूस : मास्को :: जर्मनी : ?,बर्लिन,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Russia : Moscow :: Germany :?

Options:
A. Havana
B. Oslo
C. Berlin
D. Kabul","கேள்வி: ரஷ்யா : மாஸ்கோ :: ஜெர்மனி :?

விடைகள்:
A. ஹவானா
B. ஒஸ்லோ
C. பெர்லின்
D. காபூல்"
बाइबिल : ईसाई :: कुरान : ?,इस्लाम,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Bible : Christianity :: Quran :?

Options:
A. Islam
B. Sikhism
C. Jainism
D. Hinduism","கேள்வி: வைத்தியம் : நோய் :: கணினி மென்பொருள் :?

விடைகள்:
A. நிரல்
B. கணினி
C. மொழி
D. சாதி"
बिल्ली : म्याऊ :: घोड़ा : ?,हिनहिनाना,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Cat : Meow :: Horse :?

Options:
A. Reckon
B. Hinnhinaana (Note: This option seems to be a non-standard word. It's possible that the correct translation is ""Hinnhina"" which is a sound made by a horse, but it's not a standard word. A more suitable option would be ""Neigh"")
C. Running
D. Snorting","Question: புலி : மிருகம் :: குதிரை :?

Options:
A. Reckon
B. Hinnhinaana
C. Running
D. Snorting"
न्यायालय : न्याय :: अस्पताल : ?,उपचार,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Court : Justice :: Hospital :?

Options:
A. Education
B. Treatment
C. Traffic
D. Prisoner","கேள்வி: நீதிமன்றம் : நீதி :: மருத்துவமனை :?

விடைகள்:
A. கல்வி
B. சிகிச்சை
C. போக்குவரத்து
D. கைதி"
फूल : माला :: ईट : ?,घर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Flower : Garland :: Grain :?

Options:
A. Year
B. Minute
C. Tree
D. House","கேள்வி: மலர் : கலவை :: கனிகள் :?

தேர்வுகள்:
A. ஆண்டு
B. நிமிடம்
C. மரம்
D. வீடு"
गैराज : मोटरकार :: अस्तबल : ?,घोडा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Garage : Motorcar :: Stable :?

Options:
A. Bus
B. Patient
C. Horse
D. Cow","கேள்வி: கார்ஜர் : மோட்டார்கார் :: ஸ்டேபிள் :?

விடைகள்:
A. பஸ்
B. நோயாளி
C. குதிரை
D. மாடு"
राजा : रानी :: घोड़े : ?,घोड़ी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: King : Queen :: Horses :?

Options:
A. Cow
B. Horse
C. Animal
D. Donkey","கேள்வி: மன்னர் : அரசி :: குதிரைகள் :?

விடைகள்:
A. பன்றி
B. குதிரை
C. விலங்கு
D. ஒட்டகம்"
विचार : मस्तिष्क :: बादल : ?,आसमान,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Thought : Brain :: Cloud :?

Options:
A. Literature
B. Poetry
C. Rain
D. Sky","கேள்வி: கருத்து : மனம் :: கடல் :?

தேர்வுகள்:
A. கடல் வாழ் உயிரினம்
B. கடல் பறவை
C. கடல் நீர்
D. கடல் மட்டம்"
देश : राष्ट्रपति :: राज्य : ?,राज्यपाल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Country : President :: State :?

Options:
A. Chief Minister
B. Central Minister
C. Governor
D. State Minister","கேள்வி: நாடு : ஜனாதிபதி :: மாநிலம் :?

விடைகள்:
A. முதல்வர்
B. மைய அமைச்சர்
C. ஆளுநர்
D. மாநில அமைச்சர்"
कुल्हाड़ी : काटना :: गोद : ?,चिपकाना,"Here's the translation of the analogy from Hindi to English:

Question: Chisel : Cutting :: Pouch :?

Options:
A. Alphabet
B. Paper
C. Glue
D. Chew","கேள்வி: குழல் : வெட்டுதல் :: பூச்சி :?

தேர்வுகள்:
A. ஆங்கிலம்
B. காகிதம்
C. களி
D. சாறு"
शेर : मांस :: गाय : ?,घास,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Lion : Meat :: Cow :?

Options:
A. Snake
B. Grass
C. Insect
D. Animal","கேள்வி: புலி : இறைச்சி :: பசு :?

விடைகள்:
A. ஓநாய்
B. தாவரம்
C. பூச்சி
D. விலங்கு"
कलम : लेखक :: बल्ला : ?,बल्लेबाज,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Writer :: Bat :?

Options:
A. Brush
B. Warrior
C. Stick
D. Batsman","கேள்வி: எழுத்துக்களை எழுதும் பொருள் : எழுத்தாளர் :: பந்து :?

விடைகள்:
A. பாத்திரம்
B. போர் புரிந்தவர்
C. கடிகாரம்
D. பந்தாட்ட வீரர்"
आयतन : लीटर :: क्षेत्र : ?,हेक्टेयर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Volume : Litre :: Area :?

Options:
A. Hectare
B. Degree
C. Radian
D. Newton","கேள்வி: அளவு : லிட்டர் :: பரப்பளவு :?

தேர்வுகள்:
A. ஹெக்டேர்
B. பாகை
C. ரேடியன்
D. நியூட்டன்"
चंद्रमा : सैटेलाइट :: धरती : ?,ग्रह,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Moon : Satellite :: Earth :?

Options:
A. Sun
B. Planet
C. Solar System
D. Asteroid","கேள்வி: நிலா : செயற்கைக்கோள் :: புவி :?

தேர்வுகள்:
A. சூரியன்
B. கோள்
C. சூரியக் குடும்பம்
D. விண்மீன்"
