Formatted_Question,Answer_Hindi,English_Translated
भोपाल : मध्य प्रदेश :: भुवनेश्वर : ?,उड़ीसा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Bhopal : Madhya Pradesh :: Bhubaneswar :?

Options:
A. Gujarat
B. Odisha
C. Rajasthan
D. Arunachal Pradesh"
रूस : मास्को :: जर्मनी : ?,बर्लिन,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Russia : Moscow :: Germany :?

Options:
A. Havana
B. Oslo
C. Berlin
D. Kabul"
बाइबिल : ईसाई :: कुरान : ?,इस्लाम,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Bible : Christianity :: Quran :?

Options:
A. Islam
B. Sikhism
C. Jainism
D. Hinduism"
बिल्ली : म्याऊ :: घोड़ा : ?,हिनहिनाना,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Cat : Meow :: Horse :?

Options:
A. Reckon
B. Hinnhinaana (Note: This option seems to be a non-standard word. It's possible that the correct translation is ""Hinnhina"" which is a sound made by a horse, but it's not a standard word. A more suitable option would be ""Neigh"")
C. Running
D. Snorting"
न्यायालय : न्याय :: अस्पताल : ?,उपचार,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Court : Justice :: Hospital :?

Options:
A. Education
B. Treatment
C. Traffic
D. Prisoner"
फूल : माला :: ईट : ?,घर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Flower : Garland :: Grain :?

Options:
A. Year
B. Minute
C. Tree
D. House"
गैराज : मोटरकार :: अस्तबल : ?,घोडा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Garage : Motorcar :: Stable :?

Options:
A. Bus
B. Patient
C. Horse
D. Cow"
राजा : रानी :: घोड़े : ?,घोड़ी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: King : Queen :: Horses :?

Options:
A. Cow
B. Horse
C. Animal
D. Donkey"
विचार : मस्तिष्क :: बादल : ?,आसमान,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Thought : Brain :: Cloud :?

Options:
A. Literature
B. Poetry
C. Rain
D. Sky"
देश : राष्ट्रपति :: राज्य : ?,राज्यपाल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Country : President :: State :?

Options:
A. Chief Minister
B. Central Minister
C. Governor
D. State Minister"
