Formatted_Question,Answer_Hindi,Tamil_Translated
भोपाल : मध्य प्रदेश :: भुवनेश्वर : ?,उड़ीसा,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** भोपाल : मध्य प्रदेश :: भुवनेश्वर : ?

**Options:**
A. गुजरात
B. उड़ीसा
C. राजस्थान
D. अरुणाचल प्रदेश

**Translation:**

தமிழ் மொழியில் இத்தகையான ஒரு வினா:

தில்ली : மத்தியப் பிரदेश :: புவनेश्वर : ?

வினாவின் பதவிக்கு ஏற்பமான வினாக்கள்:

A. குஜராத்து
B. உத்திரம்
C. राजस्थान
D. அருणाचलம்"
रूस : मास्को :: जर्मनी : ?,बर्लिन,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** रूस : मास्को :: जर्मनी : ?

**Options:**

A. हवाना
B. ओस्लो
C. बर्लिन
D. काबुल

**Translation:**

கருசியா : मास्को :: ஜर्मனி : ?

**Options:**

a. 하वाना
b. ஆस्लो
c. बர்लिन
d. काबुल"
बाइबिल : ईसाई :: कुरान : ?,इस्लाम,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** बाइबिल : ईसाई :: कुरान : ?

**Options:**
A. इस्लाम
B. सिक्ख
C. जैन
D. हिन्दू

**Translation:**

கிறாரம் : இசுலாம் :: பைبل : ?

**Options:**
a. இslam
b. சீக்க
c. ஜैन
d. হিন্দू"
बिल्ली : म्याऊ :: घोड़ा : ?,हिनहिनाना,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** बिल्ली : म्याऊ :: घोड़ा : ?

**Options:**
A. रेकना
B. हिनहिनाना
C. दौड़ना
D. दहाड़ना

**Translation:**

கோழி : மயூ :: குதா : ?

**Options:**
a. இறங்கா
b. இனியா
c. தோড়ना
d. தகைர்"
न्यायालय : न्याय :: अस्पताल : ?,उपचार,"**Translation:**

**Question:** न्यायालय : न्याय :: अस्पताल : ?

**Options:**

A. पढ़ाई
B. उपचार
C. यातायात
D. कैदी

**Answer:** B

**Translation:**

न्यायालय न्याय के लिए एक स्थान है, और अस्पताल उपचार के लिए एक स्थान है।"
फूल : माला :: ईट : ?,घर,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** फूल : माला :: ईट : ?

**Options:**
A. वर्षा
B. मिनट
C. वृक्ष
D. घर

**Translation:**

மலர் : மாலா :: இத : ?

**Options:**
a. மழை
b. நேரம்
c. மரம்
d. வீதி"
गैराज : मोटरकार :: अस्तबल : ?,घोडा,"**Translation:**

**Question:** गैराज : मोटरकार :: अस्तबल : ?

**Options:**

A. बस
B. मरीज
C. घोडा
D. गाय

**Answer:** C. घोडा

**Translation:**

G गैराज मोटरकार के लिए एक रेंगना है, अस्तबल घोडे के लिए एक रेंगना है।"
राजा : रानी :: घोड़े : ?,घोड़ी,"**Translation:**

**Question:** राजा : रानी :: घोड़े : ?

**Options:**

A. गाय
B. घोड़ी
C. जानवर
D. गधा

**Answer:** B

**Translation:**

Rajaa : Rani :: Ghorohe : Ghori."
विचार : मस्तिष्क :: बादल : ?,आसमान,"**Translation:**

கருத்து : மस्तिष्क :: बादल : ?

வினியம்:
a. இலக்கியம்
b. கவிதா
c. 물
d. வायம்"
देश : राष्ट्रपति :: राज्य : ?,राज्यपाल,"**Translation:**

**Question:** देश : राष्ट्रपति :: राज्य : ?

**Options:**

A. मुख्यमंत्री
B. केन्द्रीय मंत्री
C. राज्यपाल
D. राज्यमंत्री

**Answer:** A

**Translation:**

देश राष्ट्रपति के लिए एक राष्ट्र है, और राज्य मुख्यमंत्री के लिए एक राज्य है।"
कुल्हाड़ी : काटना :: गोद : ?,चिपकाना,"**Translation:**

**Question:** कुल्हाड़ी : काटना :: गोद : ?

**Options:**

A. अक्षर
B. कागज
C. चिपकाना
D. चबाना

**Answer:** B

**Translation:**

कुल्हाड़ी கத்தியைப் போல, गोद _____ ஆகும்."
शेर : मांस :: गाय : ?,घास,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** शेर : मांस :: गाय : ?

**Options:**
A. साँप
B. घास
C. कीड़ा
D. पशु

**Translation:**

சிங்கம் : மசாலா :: கाय : ?

**Options:**
a. சাপ
b. கொத்த Grass
c. கீड़ा
d. விலங்கம்"
कलम : लेखक :: बल्ला : ?,बल्लेबाज,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** कलम : लेखक :: बल्ला : ?

**Options:**

A. ब्रश
B. सेनानी
C. स्टिक
D. बल्लेबाज

**Translation:**

கலம் : எழுத்தாளர் :: பल्ला : ?

**Options:**

a. பூண்டு
b. सेनानी
c. இலை
d. பल्लेबाज"
आयतन : लीटर :: क्षेत्र : ?,हेक्टेयर,"**Translation:**

**Question:** आयतन : लीटर :: क्षेत्र : ?

**Options:**

A. हेक्टेयर
B. डिग्री
C. रेडियन
D. न्यूटन

**Answer:** C. रेडियन

**Translation:**

Ayatan : Litter :: Kshetra : Redian."
चंद्रमा : सैटेलाइट :: धरती : ?,ग्रह,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** चंद्रमा : सैटेलाइट :: धरती : ?

**Options:**
A. सूर्य
B. ग्रह
C. सौर प्रणाली
D. क्षुद्रग्रह

**Translation:**

சிந்திரம் : சैटेलाइट :: தரவை : ?

**Options:**
a. சூரியன்
b. கோள்
c. சौर அமைப்பு
d. சிறிய கோள்"
मोमबत्ती : मोम :: कागज : ?,पल्प,"**Translation:**

Question: मोमबत्ती : मोम :: कागज : ?

Options:
A. लकड़ी
B. पेड़
C. बांस
D. पल्प

**Translation:**

கமழகி : கமழகி :: காகசம் : ?

வினியங்கள்:
A. லக்கரி
B. பதர்
C. பசம்
D. பல்"
