Question,Answer_English,Tamil_Translated,English_ReTranslated
Athens : Greece :: Baghdad : ?,Iraq,அதீனா : கிரீஸ் :: பாக்தாத் : ஈராக்,Athina: Greece :: Baghdad: Iraq
Athens : Greece :: Bangkok : ?,Thailand,அதீனா : கிரீஸ் :: பாங்காக் : தாய்லாந்து,Athina : Greece :: Bangkok : Thailand
Athens : Greece :: Beijing : ?,China,அதீனா : கிரீஸ் :: பீஜிங் : சீனா,Athina: Greece :: Beijing: China
Athens : Greece :: Berlin : ?,Germany,அதீனா : கிரீஸ் :: பெர்லின் : ஜெர்மனி,Athina: Greece :: Berlin: Germany
Athens : Greece :: Bern : ?,Switzerland,அதீனா : கிரீஸ் :: பெர்ன் : சுவிட்சர்லாந்து,Athina: Greece :: Bern: Switzerland
Athens : Greece :: Cairo : ?,Egypt,அதீனா : கிரீஸ் :: கெய்ரோ : எகிப்து,Athina: Greece :: Cairo: Egypt
Athens : Greece :: Canberra : ?,Australia,அதென்ஸ் : கிரீஸ் :: கென்பரா : ஆஸ்திரேலியா,Athens : Greece :: Canberra : Australia
Athens : Greece :: Hanoi : ?,Vietnam,அதீனா : கிரீஸ் :: ஹானோய் : வியட்நாம்,Athina: Greece :: Hanoi: Vietnam
Athens : Greece :: Havana : ?,Cuba,அதீனா : கிரீஸ் :: ஹவானா : கியூபா,Athina: Greece :: Havana: Cuba
Athens : Greece :: Helsinki : ?,Finland,அதீனா : கிரீஸ் :: ஹெல்சின்கி : பின்லாந்து,Athina : Greece :: Helsinki : Finland
